date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:54	46643/46643	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/order-invoices.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/order-invoices.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:55	56668/56668	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/customers.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/customers.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:55	59774/59774	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/customer-detail.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/customer-detail.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:55	46529/46529	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/coupons-list.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/coupons-list.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:55	44202/44202	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/coupon-add.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/coupon-add.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:55	44114/44114	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/coupon-edit.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/coupon-edit.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:56	44934/44934	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/inventory-info.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/inventory-info.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:56	62460/62460	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/purchase.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/purchase.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:56	56189/56189	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/supplier.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/supplier.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:56	52747/52747	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/returns.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/returns.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
13:29:57	52822/52822	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Oct%202021%2018:07:38%20GMT	https://www.pixelwibes.com/template/ebazar/html/dist/department.html	D:/New/www.pixelwibes.com/template/ebazar/html/dist/department.html	(from https://www.pixelwibes.com/template/ebazar/html/dist/index.html)
